id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3945778,120qm Altbau in Berlin Friedenau,20447653,Sebastian,Tempelhof - Schöneberg,Friedenau,52.47413,13.33916,Entire home/apt,119,2,13,2018-01-01,0.21,1,0
3948931,"Sunny, spacious & central apartment",20406771,Martin,Tempelhof - Schöneberg,Schöneberg-Nord,52.5003,13.35849,Entire home/apt,75,2,16,2016-07-04,0.26,1,0
3949602,Room on famous Weserstrasse,20469578,Kristin & Matthias,Neukölln,Rixdorf,52.48108,13.44248,Private room,35,2,192,2019-11-05,3.61,1,13
3952092,Moabit ist Beste 24 m 2.Etage,16750716,Anne,Mitte,Moabit West,52.52082,13.33251,Private room,44,4,1,2019-01-02,0.09,1,317
3955884,Zimmer in bester Kiezlage BLN U7,20006585,Sabrina,Neukölln,Reuterstraße,52.48613,13.43693,Private room,44,1,0,,,1,0
3955988,Beautiful centric loft with garden ,20504515,Saskia Lange-Prollius,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50813,13.46783,Entire home/apt,65,3,209,2019-11-04,3.56,1,4
3956008,Cozy Room for 2 In Lively Kreuzberg,17995172,Marie,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.49933,13.42064,Private room,39,1,168,2019-11-09,2.69,1,35
3956060,"",13604585,Hannah,Tempelhof - Schöneberg,Schöneberg-Süd,52.48621,13.34618,Private room,41,2,0,,,1,0
3956061,"Relaxed 2 Room Apt. with Garden, Neukölln",16012386,Lilly,Neukölln,Schillerpromenade,52.47757,13.42366,Entire home/apt,100,3,22,2019-08-10,0.35,1,226
3964106,central & sunny – with 3 bedrooms,20145014,Frank,Pankow,Pankow Süd,52.56035,13.41839,Entire home/apt,55,4,5,2018-08-05,0.12,1,0
3964415,Modern and cosy appartment,3331993,Sebastian,Neukölln,Neuköllner Mitte/Zentrum,52.47225,13.43186,Entire home/apt,69,3,18,2019-09-21,0.30,1,116
3965982,"6 rooms, central Prenzlauer Berg, ideal for family",2213775,Anne,Pankow,Prenzlauer Berg Südwest,52.53949,13.41223,Entire home/apt,240,4,17,2019-07-31,0.28,3,193
3966898,"Sunny, quiet room in Charlottenburg, Berlin",20558626,Claudia,Charlottenburg-Wilm.,Otto-Suhr-Allee,52.51587,13.30444,Private room,52,2,75,2019-10-28,1.20,1,19
3968098,schöner Altbau Prenzlauer Berg mit Balkon,20307915,Julia,Pankow,Prenzlauer Berg Nordwest,52.54925,13.4105,Entire home/apt,70,3,29,2019-11-09,0.95,2,32
3968204,Design-Apartment zentral in Berlin-Charlottenburg,20564719,Marco,Charlottenburg-Wilm.,Westend,52.51114,13.26855,Entire home/apt,105,2,71,2019-11-10,1.12,1,315
3969577,600 qm Loft auf Insel in Berlin,20572681,Hartwig,Charlottenburg-Wilm.,Charlottenburg Nord,52.53064,13.28734,Entire home/apt,650,2,2,2014-12-08,0.03,1,363
